State,Party
Arizona,D
Florida,R
Georgia,D
Iowa,R
Michigan,D
Minnesota,D
Nevada,D
New Hampshire,D
North Carolina,R
Ohio,R
Pennsylvania,D
Texas,R
Wisconsin,D
Alabama,R
Alaska,R
Arkansas,R
California,D
Colorado,D
Connecticut,D
Delaware,D
District of Columbia,D
Hawaii,D
Idaho,R
Illinois,D
Indiana,R
Kansas,R
Kentucky,R
Louisiana,R
Maine,D
Maryland,D
Massachusetts,D
Mississippi,R
Missouri,R
Montana,R
Nebraska,R
New Jersey,D
New Mexico,D
New York,D
North Dakota,R
Oklahoma,R
Oregon,D
Rhode Island,D
South Carolina,R
South Dakota,R
Tennessee,R
Utah,R
Vermont,D
Virginia,D
Washington,D
West Virginia,R
Wyoming,R
